OCCUPATION,AI_EXPOSURE_SCORE
"Public Safety Telecommunicators",56
"Pump Operators, Except Wellhead Pumpers",65
"Purchasing Managers",32
"Radiation Therapists",45
"Radio, Cellular, and Tower Equipment Installers and Repairers",59
"Radiologic Technologists and Technicians",44
"Radiologists",50
"Rail Car Repairers",56
"Rail Transportation Workers",34
"Rail Transportation Workers, All Other",36
"Rail Yard Engineers, Dinkey Operators, and Hostlers",60
"Rail-Track Laying and Maintenance Equipment Operators",55
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",57
"Railroad Conductors and Yardmasters",65
"Real Estate Brokers",63
"Real Estate Sales Agents",57
"Receptionists and Information Clerks",73
"Recreation and Fitness Studies Teachers, Postsecondary",55
"Recreation Workers",35
"Recreational Therapists",31
"Recreational Vehicle Service Technicians",50
"Refractory Materials Repairers, Except Brickmasons",68
"Refuse and Recyclable Material Collectors",63
"Registered Nurses",33
"Rehabilitation Counselors",37
"Reinforcing Iron and Rebar Workers",39
"Religious Workers",35
"Religious Workers, All Other",36
"Reservation and Transportation Ticket Agents and Travel Clerks",53
"Residential Advisors",41
"Respiratory Therapists",35
"Retail Sales Workers",31
"Retail Salespersons",66
"Riggers",43
"Rock Splitters, Quarry",57
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",70
"Roof Bolters, Mining",63
"Roofers",60
"Rotary Drill Operators, Oil and Gas",45
"Roustabouts, Oil and Gas",48
"Sailors and Marine Oilers",53
"Sales and Related Workers, All Other",52
"Sales Engineers",36
"Sales Managers",36
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",48
"Sales Representatives, Services",35
"Sales Representatives, Wholesale and Manufacturing",47
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",61
